ISBN,title,authorSecondName,authorFirstName,pages,YearPublish
2170189,Master i Margarita,Kalinin,Mikhail,382,1800
8907269,Domovoy,Kalinin,Artem,1008,1800
1725539,Zateryanny mir,Pavlov,Boris,966,1800
3515708,Tolko ty,Volkov,Mikhail,1874,1801
8812570,Poezd na Yumu,Karpov,Pavel,845,1801
7100558,Vremennaya petlya,Petrov,Stanislav,1704,1801
6080438,,Makarov,Nikolai,262,1801
1097189,Vybor cheloveka,Yakovlev,Andrei,518,1801
4735228,Mgnoveniya vechnosti,Petrov,Artem,1310,1801
7196556,Doroga v nikuda,Pavlov,Boris,893,1801
5367753,Gravitatsiya,Lebedev,Konstantin,1700,1801
8296295,Den strashnogo suda,Kuznetsov,Maxim,866,1802
3470662,Zhemchuzhnoe ozero,Popov,Roman,521,1802
9487613,Put do zvyozd,Karpov,Ivan,1098,1802
8968495,Pod znakom Vody,Pavlov,Artem,953,1802
9417027,Na beregu vechnosti,Kuznetsov,Roman,911,1802
5844208,Poezd na Yumu,Makarov,Yaroslav,634,1802
9579278,Iskry budushchego,Kalinin,Alexei,1006,1802
4892737,Polyarnaya zvezda,Zaitsev,Andrei,1762,1803
1998765,Mgnoveniya vechnosti,Ivanov,Yaroslav,813,1803
6223115,Rasskazy o prirode,Novikov,Andrei,1945,1803
8889483,Legendy severa,Lebedev,Yaroslav,492,1804
3551790,Na krae zemli,Petrov,Sergei,614,1805
5085773,Zateryanny mir,Morozov,Oleg,508,1805
8118475,Metamorfozy,Ivanov,Konstantin,1801,1805
4028699,Iskusstvo voiny,Zaitsev,Stanislav,1130,1805
9907300,Gore ot uma,Popov,Viktor,964,1806
2348780,Pod znakom Vody,Kalinin,Gennady,1071,1806
6168629,Kogda goryat mosty,Novikov,Ivan,1882,1806
5261797,Anna Karenina,Chernov,Pavel,1053,1806
1338834,Svet vo t'me,Makarov,Maxim,311,1807
9204089,Gravitatsiya,Kuznetsov,Dmitri,140,1807
8991087,Den strashnogo suda,Egorov,Gennady,1004,1807
1188782,Mir v teni,Egorov,Alexei,1434,1807
6440304,Tayna glubiny,Kuznetsov,Boris,1310,1807
7547851,Den strashnogo suda,Egorov,Boris,708,1807
2061465,Vokzal mechty,Makarov,Pavel,1551,1807
4372388,Deti kapitana Granta,Petrov,Sergei,1805,1808
3589116,Vokzal mechty,Novikov,Artem,305,1808
8901412,Zemlya lyudey,Zaitsev,Oleg,1444,1808
6024869,Gore ot uma,Chernov,Oleg,666,1808
9077894,Severny veter,Lebedev,Viktor,585,1809
9344995,Vokzal mechty,Orlov,Roman,339,1809
6329287,Zvezdnyy pilot,Lebedev,Sergei,826,1809
5306873,Severny veter,Egorov,Yaroslav,1983,1809
8975525,Poslednyaya zvezda,Kalinin,Pavel,104,1810
1889713,Metamorfozy,Morozov,Alexei,1928,1810
6031910,Vremya pervykh,Morozov,Artem,76,1810
7998759,Zvezdnyy pilot,Yakovlev,Dmitri,1288,1811
6528988,Kapitanskaya dochka,Chernov,Konstantin,1590,1811
7346258,Belaya gvardiya,Zaitsev,Pavel,512,1811
8412263,Serebryanoye ozero,Popov,Mikhail,1056,1811
8863108,Na beregu vechnosti,Ivanov,Artem,533,1812
3998456,Domovoy,Petrov,Vladislav,897,1812
6011713,Tikhiy Don,Popov,Ivan,184,1812
7870496,Iskusstvo voiny,Kuznetsov,Andrei,380,1813
3432692,Tayna glubiny,Ivanov,Ivan,1366,1813
1824432,Mir v teni,Fedorov,Alexei,1770,1813
2109662,Proshchay oruzhiye,Morozov,Pavel,498,1814
3206301,Dostoevsky: Sudba i tvorchestvo,Novikov,Pavel,433,1814
6010213,Severny veter,Ivanov,Maxim,1133,1814
